offset	bank	bank_offset	address	length	ascii_ratio	high_byte_ratio	entropy	sample_hex	sample_ascii_lossy
0x0005DE	0x00	0x05DE	0x05DE	22	0.273	0.545	4.369	203135cadfbdded926b7acc9dd0f20ceb634ba0e0d01	 15.....&..... ..4....
0x0005F5	0x00	0x05F5	0x05F5	22	0.227	0.591	4.369	20cadeb2c5d8b0d7ddc4de0f26424aceb632ba0e0d01	 ...........&BJ..2....
0x00060C	0x00	0x060C	0x060C	24	0.042	0.792	4.085	20d0c6b9deb0d10fb6debfdeb3b2dab6b40ec3deb0c00d01	 .......................
0x000625	0x00	0x0625	0x0625	16	0.875	0.0	3.281	204742204b49535320544f4f4c530d01	 GB KISS TOOLS..
0x000636	0x00	0x0636	0x0636	56	0.768	0.196	4.486	4b4953534d4f4e2043414e4e4f4e202042494e415259202047414d4544415441	KISSMON CANNON  BINARY  GAMEDATAKISSTOOL  ...... .......
0x000671	0x00	0x0671	0x0671	19	0.421	0.474	4.037	0f53544152542f41a620b5bcc3b8c0debbb20e	.START/A. .........
0x000686	0x00	0x0686	0x0686	8	1.0	0.0	0.0	2d2d2d2d2d2d2d2d	--------
0x00068F	0x00	0x068F	0x068F	12	0.25	0.167	3.418	cda2073e2011040201041021	...> ......!
0x00069D	0x00	0x069D	0x069D	52	0.288	0.308	4.389	cf593ef0110802010310210103cf59210402cfb8219c05cf69210706cfb82186	.Y>.......!...Y!....!...i!....!...i!C.....>.>......!
0x0006D3	0x00	0x06D3	0x06D3	11	0.273	0.182	3.096	cf543e8011060601010821	.T>.......!
0x0006DF	0x00	0x06DF	0x06DF	14	0.357	0.286	3.522	01cf593e03cfb42156c61e200108	..Y>...!V.. ..
0x0006EE	0x00	0x06EE	0x06EE	11	0.182	0.364	3.459	cfa611018006082156c60e	.......!V..
0x0006FA	0x00	0x06FA	0x06FA	18	0.222	0.278	3.948	cf55da1905213606010205c5e51156c60108	.U...!6.......V...
0x00070D	0x00	0x070D	0x070D	19	0.211	0.474	4.037	c5cf67c17cb5e109c10cb728060520e8c31905	..g.|......(.. ....
0x000721	0x00	0x0721	0x0721	14	0.429	0.429	3.379	54c6b979d22b07ea54c6cd390757	T..y.+..T..9.W
0x000730	0x00	0x0730	0x0730	16	0.312	0.438	3.75	55c6b2ea55c6c31905c54f3e80070d20	U...U.....O>... 
0x000745	0x00	0x0745	0x0745	20	0.1	0.8	4.222	cadfbddcb0c4de0fa620c6adb3d8aeb8bcc3200e	......... ........ .
0x00075A	0x00	0x075A	0x075A	19	0.421	0.474	3.892	0f5354415254a620b5bcc3b8c0debbb220200e	.START. ........  .
0x000799	0x00	0x0799	0x0799	16	0.312	0.375	3.75	403e0fcd5608c31905cfb53e0ccfb921	@>..V......>...!
0x0007B5	0x00	0x07B5	0x07B5	20	0.2	0.15	3.784	010914cf583e80110402010710210107cf59110d	....X>.......!...Y..
0x0007CA	0x00	0x07CA	0x07CA	47	0.532	0.17	4.595	010514cf583ef0110e02010310210103cf59210101cfb821e707cf69c9474220	....X>.......!...Y!....!...i.GB KISS  MINI GAME
0x0007FA	0x00	0x07FA	0x07FA	21	0.048	0.762	3.88	0fbcc3b2c90ec3deb0c00fa620c3ddbfb3bccfbd0e	............ ........
0x000810	0x00	0x0810	0x0810	19	0.579	0.316	3.616	0f202041c3de47424b495353c3ddbfb320200e	.  A..GBKISS....  .
0x000824	0x00	0x0824	0x0824	21	0.476	0.429	3.785	0f5354415254c3de20bcdeccdeddc95352414dcd0e	.START.. ......SRAM..
0x00083B	0x00	0x083B	0x083B	20	0.3	0.5	4.222	01c29916f01e037eb7c8d5c5cf5bc13e20814f3e	.......~.....[.> .O>
0x000858	0x00	0x0858	0x0858	9	0.556	0.333	3.17	c622732372cda20721	".""s#r...!"
0x000862	0x00	0x0862	0x0862	8	0.25	0.5	3.0	07cd3b08f080f521	..;....!
0x00086B	0x00	0x086B	0x086B	8	0.5	0.5	3.0	c62a5e2356e080ea	.*^#V...
0x000882	0x00	0x0882	0x0882	35	0.4	0.371	4.765	20110403cf5706070e871104c6c5e56b622a46235e235623e5b7283cf080f578	 ....W.........kb*F#^#V#..(<...x...
0x0008A9	0x00	0x08A9	0x08A9	12	0.5	0.333	3.585	803803d64057c52134c60120	.8..@W.!4.. 
0x0008BE	0x00	0x08BE	0x08BE	17	0.353	0.471	3.852	20511e07e1c1c5e52138c6cf5bd1e10120	 Q......!8..[... 
0x0008D0	0x00	0x08D0	0x08D0	22	0.136	0.545	4.278	09c10c05c28f08c5e5d53e01cfb4d1e1c13e0790470e	..........>......>..G.
0x0008E7	0x00	0x08E7	0x08E7	38	0.263	0.421	4.754	21040116201e3ec5cf5ec1380b4fc5cd0609c130ebc35d08f08ae604c8cf0121	!... .>..^.8.O.....0..]........!...._.
0x00090E	0x00	0x090E	0x090E	20	0.25	0.7	3.684	192ab737c8f08aea60c6f080ea5fc6f52ae080ea	.*.7....`...._..*...
0x000929	0x00	0x0929	0x0929	12	0.75	0.167	3.418	803803d640672a46235e2356	.8..@g*F#^#V
0x00093E	0x00	0x093E	0x093E	15	0.4	0.467	3.64	20c5d53e04816f2601cfb83e2acfbb	 ..>..o&...>*..
0x00094E	0x00	0x094E	0x094E	20	0.2	0.7	4.022	60c6e601c4510cd1c1d8f080f578ea5ec6e080ea	`....Q.......x.^....
0x000963	0x00	0x0963	0x0963	11	0.364	0.364	3.459	206b62c5cdc209c1380511	 kb.....8..
0x000976	0x00	0x0976	0x0976	12	0.25	0.5	3.585	64c6b7280311240df1e080ea	d..(..$.....
0x000983	0x00	0x0983	0x0983	24	0.417	0.375	4.335	203e0481d5c55f1602cf574d44d13e8083571e07e1cf5b21	 >...._...WMD.>..W....[!
0x00099C	0x00	0x099C	0x099C	10	0.1	0.7	3.322	07cd3b08afc9f1e080ea	..;.......
0x0009AB	0x00	0x09AB	0x09AB	15	0.533	0.4	3.907	c646232a666fc5e579cd5608d1f121	.F#*fo..y.V...!
0x0009BB	0x00	0x09BB	0x09BB	11	0.545	0.455	3.278	c62273237237c9afea64c6	".""s#r7...d."
0x0009C7	0x00	0x09C7	0x09C7	18	0.278	0.5	3.948	60c6cb47c2910acb7c2035e5cd180ae1d806	`..G....| 5.......
0x0009F6	0x00	0x09F6	0x09F6	18	0.278	0.611	4.17	c5cfecd1e119c179934f789a47b120d7c911	.......y.Ox.G. ...
0x000A09	0x00	0x0A09	0x0A09	9	0.0	0.556	3.17	c019e5cd180ae1d806	.........
0x000A13	0x00	0x0A13	0x0A13	21	0.667	0.238	3.785	094b4218c55e235623d546232a4e23c5f55d54c521	.KB..^#V#.F#*N#..]T.!
0x000A33	0x00	0x0A33	0x0A33	26	0.346	0.577	4.162	c5c5d5cf6bd1c13049e1c1d13e2ecb402001afc605814fc5c53e	....k..0I...>..@ .....O..>
0x000A4E	0x00	0x0A4E	0x0A4E	10	0.5	0.4	3.322	8f477b915f7a9857c10e	.G{._z.W..
0x000A60	0x00	0x0A60	0x0A60	14	0.214	0.714	3.522	c5d5cfe9d1c13825cb40c8c5d506	......8%.@....
